
=== cProfile parsing_2 (parse+reduce), x4, sorted by tottime ===
         22386756 function calls (22236991 primitive calls) in 7.292 seconds

   Ordered by: internal time
   List reduced from 110 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.694    0.035    3.232    0.162 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/trampoline.py:63(__iter__)
   657635    0.514    0.000    0.972    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/chart.py:160(__iadd__)
   292725    0.514    0.000    1.902    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/ops.py:156(eval)
  1718210    0.426    0.000    2.325    0.000 {method 'send' of 'generator' objects}
   146120    0.355    0.000    1.076    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/ops.py:331(eval)
   642410    0.342    0.000    0.774    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/forest.py:283(__iter__)
   585495    0.299    0.000    3.339    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/ir/walk.py:57(eval)
   469340    0.256    0.000    0.256    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/ir/base.py:421(__eq__)
    18405    0.226    0.000    3.616    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/engine.py:259(eval)
   306580    0.184    0.000    0.247    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/forest.py:116(__new__)
   483395    0.183    0.000    0.256    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/ir/mapping.py:266(__iadd__)
  1794800    0.181    0.000    0.181    0.000 {method 'append' of 'list' objects}
  2140820    0.165    0.000    0.165    0.000 {built-in method builtins.len}
   946265    0.164    0.000    0.164    0.000 {built-in method __new__ of type object at 0x1546d40}
   237105    0.163    0.000    0.231    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/chart.py:71(__iadd__)
   367605    0.161    0.000    0.329    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/reduce.py:143(__iter__)
  1124605    0.160    0.000    0.205    0.000 {method 'get' of 'dict' objects}
101800/24460    0.137    0.000    0.251    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/reduce.py:66(eval)
  2136925    0.131    0.000    0.131    0.000 /home/mika/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/typing.py:2300(cast)
   936235    0.117    0.000    0.117    0.000 {method 'add' of 'set' objects}
   377190    0.117    0.000    0.282    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/ir/mapping.py:187(resolve)
        5    0.112    0.022    6.110    1.222 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/__init__.py:76(parse)
   540850    0.110    0.000    0.237    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/ir/mapping.py:280(__getitem__)
   266020    0.109    0.000    0.233    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/parsing_2/forest.py:248(__iter__)
   308760    0.108    0.000    0.153    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ab059933e58dd9159/src/lexic/ir/base.py:581(__new__)


