
=== cProfile parsing_2 (parse+reduce), x4, sorted by tottime ===
         15175646 function calls (15025881 primitive calls) in 4.869 seconds

   Ordered by: internal time
   List reduced from 99 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   657635    0.552    0.000    0.831    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/chart.py:160(__iadd__)
   292725    0.484    0.000    1.434    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/ops.py:168(eval)
   146120    0.345    0.000    0.985    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/ops.py:352(eval)
    18405    0.295    0.000    2.804    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/engine.py:264(eval)
  1779045    0.227    0.000    0.238    0.000 {method 'get' of 'dict' objects}
        5    0.221    0.044    0.553    0.111 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/forest.py:481(_build_tree_fast)
       10    0.200    0.020    1.141    0.114 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/trampoline.py:63(__iter__)
  2225720    0.168    0.000    0.168    0.000 {built-in method builtins.len}
   367605    0.156    0.000    0.320    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/reduce.py:143(__iter__)
  1427840    0.144    0.000    0.144    0.000 {built-in method builtins.isinstance}
   237105    0.138    0.000    0.202    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/chart.py:71(__iadd__)
  1340580    0.137    0.000    0.137    0.000 {method 'append' of 'list' objects}
101800/24460    0.136    0.000    0.250    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/reduce.py:66(eval)
   506980    0.117    0.000    0.876    0.000 {method 'send' of 'generator' objects}
   709955    0.114    0.000    0.114    0.000 {built-in method __new__ of type object at 0x1546d40}
   223855    0.100    0.000    0.131    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/ir/base.py:581(__new__)
   851335    0.099    0.000    0.099    0.000 {method 'add' of 'set' objects}
        5    0.087    0.017    3.719    0.744 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/__init__.py:76(parse)
   337785    0.084    0.000    0.166    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/chart.py:249(__getitem__)
  1313385    0.082    0.000    0.082    0.000 /home/mika/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/typing.py:2300(cast)
   139375    0.077    0.000    0.439    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/reduce.py:196(__iter__)
   221680    0.073    0.000    0.117    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/forest.py:116(__new__)
   142675    0.067    0.000    0.086    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/ir/base.py:397(__new__)
   109765    0.066    0.000    0.097    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/ops.py:312(sole_candidate)
    18400    0.064    0.000    0.220    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae6e090226fffc47d/src/lexic/parsing_2/engine.py:297(eval)


