=== Final v3 profile (x4, 5 runs, after warm-up) ===
         6971611 function calls (6783136 primitive calls) in 2.201 seconds

   Ordered by: internal time
   List reduced from 23 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    1.235    0.247    1.956    0.391 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1129(_build_chart_v3)
  1597100    0.201    0.000    0.201    0.000 {method 'get' of 'dict' objects}
  1020590    0.100    0.000    0.100    0.000 {built-in method builtins.isinstance}
  84900/5    0.098    0.000    0.245    0.049 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1563(_collect_kids_v3)
   851160    0.098    0.000    0.098    0.000 {method 'add' of 'set' objects}
  1181605    0.086    0.000    0.086    0.000 {built-in method builtins.len}
   810975    0.070    0.000    0.070    0.000 {built-in method builtins.id}
  66505/5    0.068    0.000    0.246    0.049 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1544(_build_tree_v3)
   640505    0.061    0.000    0.061    0.000 {method 'append' of 'list' objects}
   109765    0.053    0.000    0.080    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1469(_leo_sole_candidate_v3)
69375/32295    0.045    0.000    0.098    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1481(_leo_resolve_v3)
     3665    0.023    0.000    0.033    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1522(_leo_expand_v3)
   306580    0.023    0.000    0.023    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:62(__init__)
    86435    0.017    0.000    0.023    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1098(__getitem__)
    56940    0.015    0.000    0.019    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:69(__eq__)
    18405    0.005    0.000    0.005    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:1117(__init__)
    66505    0.004    0.000    0.004    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/parsing_2/fast_engine.py:761(__init__)
      290    0.000    0.000    0.000    0.000 /home/mika/projects/lexic/.claude/worktrees/agent-ae8dcf7d83411e1a1/src/lexic/ir/base.py:397(__new__)
      290    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1546d40}
        5    0.000    0.000    2.201    0.440 <stdin>:12(bench)


